"title","author","journal","year","pubid","number"
"Worldwide comparison of carbon stocks and fluxes between native and non-native forests","Lázaro-Lobo, Adrián and Fernandez, Romina D and Alonso, Alvaro and Cruces, Paula and Cruz-Alonso, Verónica and Ervin, Gary N and Gallardo, Antonio and Granda, Elena and Gómez-Gras, Daniel and Marchante, Hélia and others","Biological Reviews","2025","","3"
"Forest productivity decreases in response to recent changes in vegetation structure and climate in the latitudinal extremes of the European continent","Tijerín-Triviño, Julián and Lines, Emily R and Zavala, Miguel A and Garcia, Mariano and Astigarraga, Julen and Cruz-Alonso, Verónica and Dahlgren, Jonas and Ruiz-Benito, Paloma","Global Ecology and Biogeography","2025","","2"
"PlotToSat: A tool for generating time-series signatures from Sentinel-1 and Sentinel-2 at field-based plots for machine learning applications","Miltiadou, Milto and Grieve, Stuart and Ruiz-Benito, Paloma and Astigarraga, Julen and Cruz-Alonso, Verónica and Triviño, Julián Tijerín and Lines, Emily R","Environmental Modelling & Software","2025","",""
"Canopy height and biomass distribution across the forests of Iberian Peninsula","Su, Yang and Schwartz, Martin and Fayad, Ibrahim and García, Mariano and Zavala, Miguel A and Tijerín-Triviño, Julián and Astigarraga, Julen and Cruz-Alonso, Verónica and Liu, Siyu and Zhang, Xianglin and others","Scientific Data","2025","","1"
"The effect of shrubs on tree recruitment differs between planted and secondary forests","Cruz-Alonso, Verónica and Ruiz-Benito, Paloma and Andivia, Enrique and Rey-Benayas, José María and Villar-Salvador, Pedro","Forest Ecology and Management","2025","",""
"Does aridity modulate species mixing effects on growth response to drought in pine-oak forests in Mediterranean mountains?","Ureña-Lara, Carmen and Pérez-Corona, M Esther and Cruz-Alonso, Veronica and Herrero, Asier and Andivia, Enrique","Forest Ecology and Management","2025","",""
"Hydraulic Strategies Modulate Forest Productivity Responses to Hotter Droughts","Tijerín-Triviño, Julián and Serra-Maluquer, Xavier and García-Valdés, Raúl and Zavala, Miguel Ángel and García, Mariano and Astigarraga, Julen and Cruz-Alonso, Verónica and Rebollo, Pedro and Gazol, Antonio and Rodes-Blanco, Marina and others","Global Change Biology","2025","","7"
"The legacy of pine plantations on fire severity","Repeto-Deudero, Irene and Ojeda, Fernando and Gómez-González, Susana and Miranda, Alejandro and Cruz-Alonso, Verónica and Pausas, Juli G","Journal of Applied Ecology","2025","","11"
"Context-dependent effects of livestock grazing on forest attributes and ecosystem multifunctionality in Nothofagus forests","Rodríguez, Paula and Alonso, Verónica Cruz and Romano, Silvina and Bustamante, Gimena and Soler, Rosina","Agriculture, Ecosystems & Environment","2026","",""
"Diversity modulates above-ground productivity in response to disturbances: The case of Iberian forests","Rebollo, Pedro and Cruz-Alonso, Verónica and Ruiz-Benito, Paloma and Triviño, María and Astigarraga, Julen and González-Díaz, Patricia and Zavala, Miguel A and Andivia, Enrique","Journal of Ecology","2025","","12"
"How does the enhancement of carbon sequestration by non-native forests affect other ecosystem services?","Castro-Díez, Pilar and Lázaro-Lobo, Adrián and Fernandez, Romina D and Alonso, Álvaro and Cruces, Paula and Cruz-Alonso, Verónica and Ervin, Gary N and Gallardo, Antonio and Granda, Elena and Gómez-Gras, Daniel and others","New Forests","2025","","6"
"Harvesting effects on forest condition indicators across Iberian forests: Implications for the EU Nature Restoration Regulation","Rebollo, Pedro and Ruiz-Benito, Paloma and Andivia, Enrique and Zavala, Miguel A and Astigarraga, Julen and Suvanto, Susanne and Cruz-Alonso, Verónica","bioRxiv","2025","",""
"Los próximos pasos de Ecosistemas para una ciencia abierta, inclusiva y universal","Hernandez-Mateo, Laura and Sobral, Mar and Molina-Morales, Mecedes and Bartomeus, Ignasi and Jiménez-Eguizábal, Leyre and Alarcón-Ríos, Lucía and Astigarraga, Julen and Bastias, Cristina C and Benavides, Raquel and Bravo, Carolina and others","Ecosistemas","2026","","1"
"Contrasting trends in forest growth and mortality of major European tree species under increasing climatic stress","Bravo-Hernández, Miriam and Astigarraga, Julen and Suvanto, Susanne and Grajera-Antolín, Cristina and Rodríguez-Rey, Marta and Vilà-Cabrera, Albert and Pugh, Thomas AM and Zavala, Miguel A and Esquivel-Muelbert, Adriane and Tijerín-Triviño, Julián and others","bioRxiv","2026","",""
"Ten rules for using evidence to guide ecosystem restoration","Chaves, Rafael B and Meli, Paula and Hua, Fangyuan and Cruz-Alonso, Verónica and Brancalion, Pedro HS and Downey, Harriet and Lemma, Yigremachew S and Wauchope, Hannah S and Kwarteng, David A and Riach, Anna Christian and others","Journal of Applied Ecology","2026","","9"
